,R&D Spend,Administration,Marketing Spend,State,Profit
0,165349.2,136897.8,471784.1,New York,192261.83
1,162597.7,151377.59,443898.53,California,191792.06
2,153441.51,101145.55,407934.54,Florida,191050.39
3,144372.41,118671.85,383199.62,New York,182901.99
4,142107.34,91391.77,366168.42,Florida,166187.94
5,131876.9,99814.71,362861.36,New York,156991.12
6,134615.46,147198.87,127716.82,California,156122.51
7,130298.13,145530.06,323876.68,Florida,155752.6
8,120542.52,148718.95,311613.29,New York,152211.77
9,123334.88,108679.17,304981.62,California,149759.96
10,101913.08,110594.11,229160.95,Florida,146121.95
11,100671.96,91790.61,249744.55,California,144259.4
12,93863.75,127320.38,249839.44,Florida,141585.52
13,91992.39,135495.07,252664.93,California,134307.35
14,119943.24,156547.42,256512.92,Florida,132602.65
15,114523.61,122616.84,261776.23,New York,129917.04
16,78013.11,121597.55,264346.06,California,126992.93
17,94657.16,145077.58,282574.31,New York,125370.37
18,91749.16,114175.79,294919.57,Florida,124266.9
19,86419.7,153514.11,0.0,New York,122776.86
20,76253.86,113867.3,298664.47,California,118474.03
21,78389.47,153773.43,299737.29,New York,111313.02
22,73994.56,122782.75,303319.26,Florida,110352.25
23,67532.53,105751.03,304768.73,Florida,108733.99
24,77044.01,99281.34,140574.81,New York,108552.04
25,64664.71,139553.16,137962.62,California,107404.34
26,75328.87,144135.98,134050.07,Florida,105733.54
27,72107.6,127864.55,353183.81,New York,105008.31
28,66051.52,182645.56,118148.2,Florida,103282.38
29,65605.48,153032.06,107138.38,New York,101004.64
30,61994.48,115641.28,91131.24,Florida,99937.59
31,61136.38,152701.92,88218.23,New York,97483.56
32,63408.86,129219.61,46085.25,California,97427.84
33,55493.95,103057.49,214634.81,Florida,96778.92
34,46426.07,157693.92,210797.67,California,96712.8
